node,name,type,lon,lat
0,GI_Sambas,substation,109.2688,1.3429
1,GI_Singkawang,substation,108.9876,0.9266
2,GI_PLTU_3_Kalbar,substation,108.8747,0.8361
3,GI_PLTU_2_Kalbar,substation,108.8653,0.8300
4,GI_Senggiring,substation,108.9853,0.3162
5,GI_Parit_Baru,substation,109.2055,0.0592
6,GI_Kota_Baru,substation,109.2987,-0.0754
7,GI_Siantan,substation,109.3280,-0.0002
8,GI_Sei_Raya,substation,109.3809,-0.0735
9,GI_Tayan,substation,110.0932,0.0015
10,GI_Ngabang,substation,110.0010,0.3534
11,GI_Bengkayang,substation,109.4967,0.9056
12,GITET_Bengkayang,substation,109.4966,0.9066
13,GI_Pangkalanbun,substation,111.7037,-2.6152
14,GI_Sampit,substation,112.9207,-2.4816
15,GI_PLTU_Sampit,substation,112.9101,-2.7625
16,GI_Kasongan,substation,113.4337,-1.9002
17,GI_Palangkaraya,substation,113.8739,-2.1748
18,GI_Sebangau,substation,113.9302,-2.2748
19,GI_Pulau_Pisang,substation,114.2547,-2.7316
20,GI_S_Mintin,substation,114.2086,-2.8214
21,GI_Selat,substation,114.3736,-3.0121
22,GI_Seberang_Barito,substation,114.5522,-3.2767
23,GI_Trisakti,substation,114.5710,-3.3094
24,GI_Mantuil,substation,114.6270,-3.4236
25,GI_Asam-asam,substation,115.1049,-3.9253
26,GI_Satui,substation,115.5190,-3.7127
27,GI_Batulicin,substation,115.9862,-3.4822
28,GI_Cempaka,substation,114.8499,-3.4658
29,GI_Pelaihari,substation,114.7576,-3.7296
30,GI_Bandara,substation,114.7553,-3.4725
31,GI_Rantau,substation,115.1260,-3.0289
32,GI_Barikin,substation,115.3276,-2.6843
33,GI_Kayutangi,substation,114.6205,-3.2304
34,GI_Amuntai,substation,115.2949,-2.4171
35,GI_Tanjung,substation,115.4505,-2.1953
36,GI_Buntok,substation,114.9788,-1.7459
37,GI_Muara_Teweh,substation,114.8658,-0.8672
38,GI_Bangkanai,substation,115.1385,-0.6212
39,GI_Muara_Komam,substation,115.8694,-1.8280
40,GI_Kuaro,substation,116.0945,-1.8032
41,GI_Grogot,substation,116.1656,-1.8984
42,GI_Longikis,substation,116.3231,-1.5161
43,GI_Petung,substation,116.6719,-1.3408
44,GI_Kariangau,substation,116.7920,-1.1657
45,GI_Karangjoang,substation,116.8777,-1.1488
46,GI_Manggar_Sari,substation,116.9488,-1.2383
47,GI_Industri,substation,116.8411,-1.2620
48,GI_Senipah,substation,117.1350,-0.9869
49,GI_Harapan_Baru,substation,117.1063,-0.5470
50,GI_Tengkawang,substation,117.1136,-0.5024
51,GI_Embalut,substation,117.0518,-0.3816
52,GI_Bukit_Biru,substation,116.9780,-0.4560
53,GI_Kotabangun,substation,116.5953,-0.2716
54,GI_Bukuan,substation,117.1930,-0.5832
