name,bus,p_nom,carrier,marginal_cost,",name,bus,p_nom,carrier,marginal_cost,",,plant_type,$/MWh
PLTD_Lemukutan,4,0.412,Oil,3,",PLTD_Lemukutan,4,0.412,Oil,3,",,Coal,0.13
PLTU_Kalbar_1_Unit_1,3,125,Coal,0.13,",PLTU_Kalbar_1_Unit_1,3,125,Coal,0.13,",,Oil,3
PLTU_Kalbar_1_Unit_2,2,125,Coal,0.13,",PLTU_Kalbar_1_Unit_2,2,125,Coal,0.13,",,Gas,0.13
PLTU_Parit_Baru_Site_Bengkayang_#01,11,55,Coal,0.13,",PLTU_Parit_Baru_Site_Bengkayang_#01,11,55,Coal,0.13,",,Biomass,3
PLTU_Parit_Baru_Site_Bengkayang_#02,11,55,Coal,0.13,",PLTU_Parit_Baru_Site_Bengkayang_#02,11,55,Coal,0.13,",,Run_of_River,3
PLTD_Area_Singkawang,1,0.16,Oil,3,",PLTD_Area_Singkawang,1,0.16,Oil,3,",,Geothermal,0.5
PLTD_Sei_Wie,1,18.4,Oil,3,",PLTD_Sei_Wie,1,18.4,Oil,3,",,Solar,0.37
PLTD_Sudirman,1,5.585,Oil,3,",PLTD_Sudirman,1,5.585,Oil,3,",,Wind,0
PLTD_Sepuk_Laut,5,0.5,Oil,3,",PLTD_Sepuk_Laut,5,0.5,Oil,3,",,,
PLTD_Tanjung_Saleh,5,0.77,Oil,3,",PLTD_Tanjung_Saleh,5,0.77,Oil,3,",,source: slwahid,
PLTMG_MPP_PLN_Batam_(MPP_Pontianak),5,100,Oil,3,",PLTMG_MPP_PLN_Batam_(MPP_Pontianak),5,100,Oil,3,",,,
PLTD_Padang_Tikar,5,3.375,Oil,3,",PLTD_Padang_Tikar,5,3.375,Oil,3,",,,
PLTBm_PT._Rezeki,5,10,Biomass,3,",PLTBm_PT._Rezeki,5,10,Biomass,3,",,,
PLTD_Sambas,0,4.095,Oil,3,",PLTD_Sambas,0,4.095,Oil,3,",,,
PLTD_Siantan,7,49.9,Oil,3,",PLTD_Siantan,7,49.9,Oil,3,",,,
PLTG_Siantan,7,34,Oil,3,",PLTG_Siantan,7,34,Oil,3,",,,
PLTD_Sei_Raya,6,50.4,Oil,3,",PLTD_Sei_Raya,6,50.4,Oil,3,",,,
PLTBm_PT_Harjohn_Timber,8,5,Biomass,3,",PLTBm_PT_Harjohn_Timber,8,5,Biomass,3,",,,
PLTD_Dusun_Besar,8,1.196,Oil,3,",PLTD_Dusun_Besar,8,1.196,Oil,3,",,,
PLTD_Bengkayang,11,0.5,Oil,3,",PLTD_Bengkayang,11,0.5,Oil,3,",,,
PLTD_Batu_Ampar_1,11,0.576,Oil,3,",PLTD_Batu_Ampar_1,11,0.576,Oil,3,",,,
PLTS_Temajuk,11,0.08,Solar,0.37,",PLTS_Temajuk,11,0.08,Solar,0.37,",,,
PLTD_Temajuk,11,0.75,Oil,3,",PLTD_Temajuk,11,0.75,Oil,3,",,,
PLTMH_Sajingan,11,0.225,Run_of_River,3,",PLTMH_Sajingan,11,0.225,Run_of_River,3,",,,
PLTMH_Serawak_Energi_BHD_Sajingan_(B),12,0.8,Run_of_River,3,",PLTMH_Serawak_Energi_BHD_Sajingan_(B),12,0.8,Run_of_River,3,",,,
PLTD_Tanjung_Satai,9,1.084,Oil,3,",PLTD_Tanjung_Satai,9,1.084,Oil,3,",,,
PLTMH_Merasap,11,1.5,Run_of_River,3,",PLTMH_Merasap,11,1.5,Run_of_River,3,",,,
PLTD_Pulau_Limbung,9,0.44,Oil,3,",PLTD_Pulau_Limbung,9,0.44,Oil,3,",,,
PLTS_Pulau_Limbung,9,0.06,Solar,0.37,",PLTS_Pulau_Limbung,9,0.06,Solar,0.37,",,,
PLTD_Ngabang,11,1.72,Oil,3,",PLTD_Ngabang,11,1.72,Oil,3,",,,
