name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTA_IR._PM_Noor,24,30,Run_of_River,0.33,1.9,0.37,1973,80,,Run_of_River,80,1.9,0.33
PLTA_SESCO_275,10,90,Run_of_River,0.33,1.9,0.37,2016,80,,Biomass,30,2.5,0.29
PLTBg_Maju_Aneka_Sawit,14,1,Biomass,0.29,2.5,3,2014,30,,Oil,25,1.2,0.25
PLTBg_Rea_Kaltim,53,2,Biomass,0.29,2.5,3,2011,30,,Coal,40,1.65,0.34
PLTBg_Suka_Damai,29,2.4,Biomass,0.29,2.5,3,2020,30,,Solar,25,0.95,1
PLTBg_Sukajadi_Sawit_Mekar,14,2.4,Biomass,0.29,2.5,3,2014,30,,Wind_Onshore,25,1.88,1
PLTBg_Unggul_Lestari,14,1,Biomass,0.29,2.5,3,2014,30,,Wind_Offshore,30,4,1
PLTBm_Gunung_Sari_HHM,62,0.2,Biomass,0.29,2.5,3,,30,,Geothermal,30,4.5,1
PLTBm_Karangan_DL,59,0.35,Biomass,0.29,2.5,3,1992,30,,Gas,30,0.75,0.56
PLTBm_Korintiga_Hutani,13,3,Biomass,0.29,2.5,3,2014,30,,,,,
PLTBm_Kotawaringin_Barat,13,10,Biomass,0.29,2.5,3,2018,30,,,,,
PLTBm_PT._Rezeki,5,10,Biomass,0.29,2.5,3,2018,30,,,,,
PLTBm_PT_Alas_Kusuma,9,3.5,Biomass,0.29,2.5,3,,30,,,,,
PLTBm_PT_Harjohn_Timber,8,5,Biomass,0.29,2.5,3,,30,,,,,
PLTBm_Talisayan_DL,59,0.26,Biomass,0.29,2.5,3,2013,30,,,,,
PLTD_Air_Hitam,9,1.05,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Air_Upas,9,0.695,Oil,0.25,1.2,3,,25,,,,,
PLTD_Area_Singkawang,1,0.16,Oil,0.25,1.2,3,,25,,,,,
PLTD_Asam_Asam,25,8.4,Oil,0.25,1.2,3,2000,25,,,,,
PLTD_Atap,61,0.3,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Aur_Kuning,9,2.755,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Babai,21,0.4,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Badau,9,2.085,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Bakau,35,0.46,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Balai_Bekuak,9,3.009,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_Balai_Karangan,10,4.69,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Balai_Riam,13,0.54,Oil,0.25,1.2,3,1982,25,,,,,
PLTD_Balai_Sepuak,10,0.996,Oil,0.25,1.2,3,1980,25,,,,,
PLTD_Barabai,32,6.672,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Batakan_Unit,46,12.16,Oil,0.25,1.2,3,1988,25,,,,,
PLTD_Batu_Ampar,47,0.4,Oil,0.25,1.2,3,,25,,,,,
PLTD_Batu_Ampar_1,11,0.576,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Batu_Putih,59,0.82,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Batu_Sopang,39,8.4,Oil,0.25,1.2,3,2006,25,,,,,
PLTD_Belikai,10,0.3,Oil,0.25,1.2,3,,25,,,,,
PLTD_Belitang,10,3.3,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Benangin,36,0.36,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Bengkayang,11,0.5,Oil,0.25,1.2,3,2003,25,,,,,
PLTD_Biduk-Biduk,59,1.64,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Bontang,58,27.59,Oil,0.25,1.2,3,2003,25,,,,,
PLTD_Bora,9,1.078,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Bundar,21,0.12,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Buntok,21,4.01,Oil,0.25,1.2,3,2004,25,,,,,
PLTD_Bunut,10,0.57,Oil,0.25,1.2,3,1986,25,,,,,
PLTD_Bunyu,60,1,Oil,0.25,1.2,3,2000,25,,,,,
PLTD_CDE_Karang_Joang_(MFO),45,30,Oil,0.25,1.2,3,2010,25,,,,,
PLTD_Cempaka_Putih,10,0.28,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Cogindo_(MFO),46,40,Oil,0.25,1.2,3,2009,25,,,,,
PLTD_Damparan,21,0.44,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Datah_Bilang,44,0.54,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_Derawan,59,1.27,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Dilang_Putih,44,0.22,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Dusun_Besar,8,1.196,Oil,0.25,1.2,3,1982,25,,,,,
