type,node0,lon0,lat0,bus0,p_nom,carrier,voltage,type1,node1,lon1,lat1,bus1
generator,PLTD_Lemukutan,108.712,0.76,,0.412,Oil,,substation,GI_PLTU_2_Kalbar,108.8653,0.83,3
generator,PLTU_Kalbar_1_Unit_1,108.846,0.815,,125,Coal,,substation,GI_PLTU_2_Kalbar,108.8653,0.83,3
generator,PLTU_Kalbar_1_Unit_2,108.846,0.816,,125,Coal,,substation,GI_PLTU_2_Kalbar,108.8653,0.83,3
substation,GI_PLTU_2_Kalbar,108.8653,0.83,3,,,150,#VALUE!,,,,
generator,PLTU_Parit_Baru_Site_Bengkayang_#01,108.874,0.837,,55,Coal,,substation,GI_PLTU_2_Kalbar,108.8653,0.83,3
generator,PLTU_Parit_Baru_Site_Bengkayang_#02,108.874,0.837,,55,Coal,,substation,GI_PLTU_2_Kalbar,108.8653,0.83,3
substation,GI_PLTU_3_Kalbar,108.8747,0.8361,2,,,150,#VALUE!,,,,
generator,PLTD_Area_Singkawang,108.98,0.912,,0.16,Oil,,substation,GI_Singkawang,108.9876,0.9266,1
substation,GI_Senggiring,108.9853,0.3162,4,,,150,#VALUE!,,,,
generator,PLTD_Sei_Wie,108.987,0.926,,18.4,Oil,,substation,GI_Singkawang,108.9876,0.9266,1
substation,GI_Singkawang,108.9876,0.9266,1,,,150,#VALUE!,,,,
generator,PLTD_Sudirman,108.998,0.911,,5.585,Oil,,substation,GI_Singkawang,108.9876,0.9266,1
generator,PLTD_Sepuk_Laut,109.078,-0.222,,0.5,Oil,,substation,GI_Parit_Baru,109.2055,0.0592,5
generator,PLTD_Tanjung_Saleh,109.148,-0.108,,0.77,Oil,,substation,GI_Parit_Baru,109.2055,0.0592,5
generator,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),109.204,0.059,,100,Oil,,substation,GI_Parit_Baru,109.2055,0.0592,5
substation,GI_Parit_Baru,109.2055,0.0592,5,,,150,#VALUE!,,,,
substation,GI_Sambas,109.2688,1.3429,0,,,150,#VALUE!,,,,
generator,PLTD_Padang_Tikar,109.272,0.682,,3.375,Oil,,substation,GI_Parit_Baru,109.2055,0.0592,5
generator,PLTBm_PT._Rezeki,109.286,0.011,,10,Biomass,,substation,GI_Parit_Baru,109.2055,0.0592,5
generator,PLTD_Sambas,109.296,1.36,,4.095,Oil,,substation,GI_Sambas,109.2688,1.3429,0
substation,GI_Kota_Baru,109.2987,-0.0754,6,,,150,#VALUE!,,,,
generator,PLTD_Siantan,109.327,-0.002,,49.9,Oil,,substation,GI_Siantan,109.328,-0.0002,7
generator,PLTG_Siantan,109.327,-0.001,,34,Oil,,substation,GI_Siantan,109.328,-0.0002,7
substation,GI_Siantan,109.328,-0.0002,7,,,150,#VALUE!,,,,
generator,PLTD_Sei_Raya,109.38,-0.072,,50.4,Oil,,substation,GI_Kota_Baru,109.2987,-0.0754,6
substation,GI_Sei_Raya,109.3809,-0.0735,8,,,150,#VALUE!,,,,
generator,PLTBm_PT_Harjohn_Timber,109.447,-0.179,,5,Biomass,,substation,GI_Sei_Raya,109.3809,-0.0735,8
generator,PLTD_Dusun_Besar,109.461,-1.11,,1.196,Oil,,substation,GI_Sei_Raya,109.3809,-0.0735,8
generator,PLTD_Bengkayang,109.477,0.819,,0.5,Oil,,substation,GI_Bengkayang,109.4967,0.9056,11
