type,node0,lon0,lat0,id,bus0,location0,p_nom,carrier,type1,node1,lon1,lat1,bus1,location1,loc_connection
generator,PLTD_Lemukutan,108.712,0.76,,,Kalimantan Barat,0.412,Oil,substation,GI_Senggiring,108.9853,0.3162,4,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Kalbar_1_Unit_1,108.846,0.815,,,Kalimantan Barat,125,Coal,substation,GI_PLTU_2_Kalbar,108.8653,0.83,3,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Kalbar_1_Unit_2,108.846,0.816,,,Kalimantan Barat,125,Coal,substation,GI_PLTU_3_Kalbar,108.8747,0.8361,2,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Parit_Baru_Site_Bengkayang_#01,108.874,0.837,,,Kalimantan Barat,55,Coal,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Parit_Baru_Site_Bengkayang_#02,108.874,0.837,,,Kalimantan Barat,55,Coal,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Area_Singkawang,108.98,0.912,,,Kalimantan Barat,0.16,Oil,substation,GI_Singkawang,108.9876,0.9266,1,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sei_Wie,108.987,0.926,,,Kalimantan Barat,18.4,Oil,substation,GI_Singkawang,108.9876,0.9266,1,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sudirman,108.998,0.911,,,Kalimantan Barat,5.585,Oil,substation,GI_Singkawang,108.9876,0.9266,1,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sepuk_Laut,109.078,-0.222,,,Kalimantan Barat,0.5,Oil,substation,GI_Parit_Baru,109.2055,0.0592,5,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Tanjung_Saleh,109.148,-0.108,,,Kalimantan Barat,0.77,Oil,substation,GI_Parit_Baru,109.2055,0.0592,5,Kalimantan Barat,Kalimantan Barat
generator,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),109.204,0.059,,,Kalimantan Barat,100,Oil,substation,GI_Parit_Baru,109.2055,0.0592,5,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Padang_Tikar,109.272,0.682,,,Kalimantan Barat,3.375,Oil,substation,GI_Parit_Baru,109.2055,0.0592,5,Kalimantan Barat,Kalimantan Barat
generator,PLTBm_PT._Rezeki,109.286,0.011,,,Kalimantan Barat,10,Biomass,substation,GI_Parit_Baru,109.2055,0.0592,5,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sambas,109.296,1.36,,,Kalimantan Barat,4.095,Oil,substation,GI_Sambas,109.2688,1.3429,0,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Siantan,109.327,-0.002,,,Kalimantan Barat,49.9,Oil,substation,GI_Siantan,109.328,-0.0002,7,Kalimantan Barat,Kalimantan Barat
generator,PLTG_Siantan,109.327,-0.001,,,Kalimantan Barat,34,Oil,substation,GI_Siantan,109.328,-0.0002,7,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sei_Raya,109.38,-0.072,,,Kalimantan Barat,50.4,Oil,substation,GI_Kota_Baru,109.2987,-0.0754,6,Kalimantan Barat,Kalimantan Barat
generator,PLTBm_PT_Harjohn_Timber,109.447,-0.179,,,Kalimantan Barat,5,Biomass,substation,GI_Sei_Raya,109.3809,-0.0735,8,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Dusun_Besar,109.461,-1.11,,,Kalimantan Barat,1.196,Oil,substation,GI_Sei_Raya,109.3809,-0.0735,8,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Bengkayang,109.477,0.819,,,Kalimantan Barat,0.5,Oil,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Batu_Ampar_1,109.537,0.749,,,Kalimantan Barat,0.576,Oil,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTS_Temajuk,109.597,2.007,,,Kalimantan Barat,0.08,Solar,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Temajuk,109.602,1.997,,,Kalimantan Barat,0.75,Oil,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTMH_Sajingan,109.643,1.62,,,Kalimantan Barat,0.225,Run_of_River,substation,GI_Bengkayang,109.4967,0.9056,11,Kalimantan Barat,Kalimantan Barat
generator,PLTMH_Serawak_Energi_BHD_Sajingan_(B),109.68,1.609,,,Kalimantan Barat,0.8,Run_of_River,substation,GITET_Bengkayang,109.4966,0.9066,12,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Tanjung_Satai,109.682,-1.208,,,Kalimantan Barat,1.084,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
