name,type,x,y,v_nom,carrier,location
GI_Sambas,substation,109.2688,1.3429,150,AC,Kalimantan Barat
GI_Singkawang,substation,108.9876,0.9266,150,AC,Kalimantan Barat
GI_PLTU_3_Kalbar,substation,108.8747,0.8361,150,AC,Kalimantan Barat
GI_PLTU_2_Kalbar,substation,108.8653,0.83,150,AC,Kalimantan Barat
GI_Senggiring,substation,108.9853,0.3162,150,AC,Kalimantan Barat
GI_Parit_Baru,substation,109.2055,0.0592,150,AC,Kalimantan Barat
GI_Kota_Baru,substation,109.2987,-0.0754,150,AC,Kalimantan Barat
GI_Siantan,substation,109.328,-0.0002,150,AC,Kalimantan Barat
GI_Sei_Raya,substation,109.3809,-0.0735,150,AC,Kalimantan Barat
GI_Tayan,substation,110.0932,0.0015,150,AC,Kalimantan Barat
GI_Ngabang,substation,110.001,0.3534,150,AC,Kalimantan Barat
GI_Bengkayang,substation,109.4967,0.9056,150,AC,Kalimantan Barat
GITET_Bengkayang,substation,109.4966,0.9066,275,AC,Kalimantan Barat
GI_Pangkalanbun,substation,111.7037,-2.6152,150,AC,Kalimantan Tengah
GI_Sampit,substation,112.9207,-2.4816,150,AC,Kalimantan Tengah
GI_PLTU_Sampit,substation,112.9101,-2.7625,150,AC,Kalimantan Tengah
GI_Kasongan,substation,113.4337,-1.9002,150,AC,Kalimantan Tengah
GI_Palangkaraya,substation,113.8739,-2.1748,150,AC,Kalimantan Tengah
GI_Sebangau,substation,113.9302,-2.2748,150,AC,Kalimantan Tengah
GI_Pulau_Pisang,substation,114.2547,-2.7316,150,AC,Kalimantan Tengah
GI_S_Mintin,substation,114.2086,-2.8214,150,AC,Kalimantan Tengah
GI_Selat,substation,114.3736,-3.0121,150,AC,Kalimantan Tengah
GI_Seberang_Barito,substation,114.5522,-3.2767,150,AC,Kalimantan Selatan
GI_Trisakti,substation,114.571,-3.3094,150,AC,Kalimantan Selatan
GI_Mantuil,substation,114.627,-3.4236,150,AC,Kalimantan Selatan
GI_Asam-asam,substation,115.1049,-3.9253,150,AC,Kalimantan Selatan
GI_Satui,substation,115.519,-3.7127,150,AC,Kalimantan Selatan
GI_Batulicin,substation,115.9862,-3.4822,150,AC,Kalimantan Selatan
GI_Cempaka,substation,114.8499,-3.4658,150,AC,Kalimantan Selatan
GI_Pelaihari,substation,114.7576,-3.7296,150,AC,Kalimantan Selatan
GI_Bandara,substation,114.7553,-3.4725,150,AC,Kalimantan Selatan
GI_Rantau,substation,115.126,-3.0289,150,AC,Kalimantan Selatan
GI_Barikin,substation,115.3276,-2.6843,150,AC,Kalimantan Selatan
GI_Kayutangi,substation,114.6205,-3.2304,150,AC,Kalimantan Selatan
GI_Amuntai,substation,115.2949,-2.4171,150,AC,Kalimantan Selatan
GI_Tanjung,substation,115.4505,-2.1953,150,AC,Kalimantan Selatan
GI_Buntok,substation,114.9788,-1.7459,150,AC,Kalimantan Tengah
GI_Muara_Teweh,substation,114.8658,-0.8672,150,AC,Kalimantan Tengah
GI_Bangkanai,substation,115.1385,-0.6212,150,AC,Kalimantan Tengah
GI_Muara_Komam,substation,115.8694,-1.828,150,AC,Kalimantan Timur
GI_Kuaro,substation,116.0945,-1.8032,150,AC,Kalimantan Timur
GI_Grogot,substation,116.1656,-1.8984,150,AC,Kalimantan Timur
GI_Longikis,substation,116.3231,-1.5161,150,AC,Kalimantan Timur
GI_Petung,substation,116.6719,-1.3408,150,AC,Kalimantan Timur
GI_Kariangau,substation,116.792,-1.1657,150,AC,Kalimantan Timur
GI_Karangjoang,substation,116.8777,-1.1488,150,AC,Kalimantan Timur
GI_Manggar_Sari,substation,116.9488,-1.2383,150,AC,Kalimantan Timur
GI_Industri,substation,116.8411,-1.262,150,AC,Kalimantan Timur
GI_Senipah,substation,117.135,-0.9869,150,AC,Kalimantan Timur
GI_Harapan_Baru,substation,117.1063,-0.547,150,AC,Kalimantan Timur
GI_Tengkawang,substation,117.1136,-0.5024,150,AC,Kalimantan Timur
GI_Embalut,substation,117.0518,-0.3816,150,AC,Kalimantan Timur
GI_Bukit_Biru,substation,116.978,-0.456,150,AC,Kalimantan Timur
GI_Kotabangun,substation,116.5953,-0.2716,150,AC,Kalimantan Timur
GI_Bukuan,substation,117.193,-0.5832,150,AC,Kalimantan Timur
GI_Muara_Jawa,substation,117.1886,-0.7806,150,AC,Kalimantan Timur
GI_Sambutan,substation,117.2139,-0.5242,150,AC,Kalimantan Timur
GI_Muara_Badak,substation,117.2925,-0.316,150,AC,Kalimantan Timur
GI_Teluk_Pandan,substation,117.435,0.1614,150,AC,Kalimantan Timur
GI_Sangatta,substation,117.5693,0.4701,150,AC,Kalimantan Timur
GI_Malinau,substation,116.6286,3.5114,150,AC,Kalimantan Utara
GI_Tideng_Pale,substation,116.8411,3.5748,150,AC,Kalimantan Utara
GI_Muara_Wahau,substation,116.9215,1.0533,150,AC,Kalimantan Timur
GI_Bulungan,substation,117.3678,2.8101,150,AC,Kalimantan Utara
