,p_nom,carrier,bus,efficiency,capital_cost,marginal_cost,build_year,lifetime
PLTBg_Maju_Aneka_Sawit,1,Biomass,14,0.29,2.5,3,2014,30
PLTBg_Rea_Kaltim,2,Biomass,53,0.29,2.5,3,2011,30
PLTBg_Suka_Damai,2.4,Biomass,29,0.29,2.5,3,2020,30
PLTBg_Sukajadi_Sawit_Mekar,2.4,Biomass,14,0.29,2.5,3,2014,30
PLTBg_Unggul_Lestari,1,Biomass,14,0.29,2.5,3,2014,30
PLTBm_Gunung_Sari_HHM,0.2,Biomass,62,0.29,2.5,3,2010,30
PLTBm_Karangan_DL,0.35,Biomass,59,0.29,2.5,3,1992,30
PLTBm_Korintiga_Hutani,3,Biomass,13,0.29,2.5,3,2014,30
PLTBm_Kotawaringin_Barat,10,Biomass,13,0.29,2.5,3,2018,30
PLTBm_PT._Rezeki,10,Biomass,5,0.29,2.5,3,2018,30
PLTBm_PT_Alas_Kusuma,3.5,Biomass,9,0.29,2.5,3,2010,30
PLTBm_PT_Harjohn_Timber,5,Biomass,8,0.29,2.5,3,2010,30
PLTBm_Talisayan_DL,0.26,Biomass,59,0.29,2.5,3,2013,30
PLTU_Asam_Asam_#01,65,Coal,25,0.34,1.65,0.13,2000,40
PLTU_Asam_Asam_#02,65,Coal,25,0.34,1.65,0.13,2000,40
PLTU_Asam_Asam_#03,65,Coal,25,0.34,1.65,0.13,2013,40
PLTU_Asam_Asam_#04,65,Coal,25,0.34,1.65,0.13,2013,40
PLTU_Dua_Samudera_Perkasa_(DSP),6,Coal,27,0.34,1.65,0.13,2008,40
PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,25,Coal,51,0.34,1.65,0.13,2008,40
PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,25,Coal,51,0.34,1.65,0.13,2008,40
PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),50,Coal,51,0.34,1.65,0.13,2008,40
PLTU_Kalbar_1_Unit_1,125,Coal,3,0.34,1.65,0.13,2020,40
PLTU_Kalbar_1_Unit_2,125,Coal,2,0.34,1.65,0.13,2021,40
PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,115,Coal,35,0.34,1.65,0.13,2019,40
PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,115,Coal,35,0.34,1.65,0.13,2019,40
PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,115.034,Coal,16,0.34,1.65,0.13,2020,40
PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,115.034,Coal,16,0.34,1.65,0.13,2020,40
PLTU_Kaltim_(FTP2)_Unit_1,100,Coal,58,0.34,1.65,0.13,2019,40
PLTU_Kaltim_(FTP2)_Unit_2,125,Coal,58,0.34,1.65,0.13,2020,40
PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,115,Coal,51,0.34,1.65,0.13,2020,40
PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,115,Coal,51,0.34,1.65,0.13,2020,40
PLTU_Kariangau_(PT._Kariangau_Power)_#01,15,Coal,44,0.34,1.65,0.13,2014,40
PLTU_Kariangau_(PT._Kariangau_Power)_#02,15,Coal,44,0.34,1.65,0.13,2014,40
PLTU_Ketapang_#01,10,Coal,9,0.34,1.65,0.13,2016,40
PLTU_Ketapang_#02,10,Coal,9,0.34,1.65,0.13,2016,40
PLTU_Lati_(PT._Indo_Pusaka_Berau),21,Coal,59,0.34,1.65,0.13,2004,40
PLTU_Mangkujenang,4,Coal,54,0.34,1.65,0.13,2015,40
PLTU_MT_Kaltim_(Muara_Jawa)_#01,33,Coal,55,0.34,1.65,0.13,2018,40
PLTU_MT_Kaltim_(Muara_Jawa)_#02,33,Coal,55,0.34,1.65,0.13,2018,40
PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),14,Coal,13,0.34,1.65,0.13,2011,40
PLTU_Parit_Baru_Site_Bengkayang_#01,55,Coal,11,0.34,1.65,0.13,2018,40
PLTU_Parit_Baru_Site_Bengkayang_#02,55,Coal,11,0.34,1.65,0.13,2019,40
PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),15,Coal,30,0.34,1.65,0.13,2015,40
PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),7,Coal,60,0.34,1.65,0.13,2017,40
PLTU_PT._Indocement_Tunggal_Perkasa,55,Coal,33,0.34,1.65,0.13,2000,40
PLTU_PT._Kalimantan_Powerindo,15,Coal,44,0.34,1.65,0.13,2016,40
PLTU_PT._Kaltim_Daya_Mandiri,34,Coal,58,0.34,1.65,0.13,2016,40
PLTU_PT._Makmur_Sejahtera_Wisesa,60,Coal,35,0.34,1.65,0.13,2013,40
PLTU_PT._Smart_Tarjun_Refinery,3.2,Coal,33,0.34,1.65,0.13,2016,40
PLTU_PT._Sumber_Alam_Sekurau_(SAS),7.5,Coal,63,0.34,1.65,0.13,2016,40
PLTU_PT._Wijaya_Triutama_Plywood_Industri,45,Coal,28,0.34,1.65,0.13,2016,40
PLTU_Pulang_Pisau_#01,60,Coal,20,0.34,1.65,0.13,2016,40
PLTU_Pulang_Pisau_#02,60,Coal,20,0.34,1.65,0.13,2017,40
PLTU_Rimau_Electric,7,Coal,38,0.34,1.65,0.13,2013,40
PLTU_Rimba_Raya,7.5,Coal,52,0.34,1.65,0.13,2015,40
PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor_Mahakam,18,Coal,59,0.34,1.65,0.13,2017,40
PLTU_Sanggau_#01,7,Coal,9,0.34,1.65,0.13,2014,40
PLTU_Sanggau_#02,7,Coal,9,0.34,1.65,0.13,2014,40
PLTU_Senoni_#01,7.5,Coal,49,0.34,1.65,0.13,2011,40
PLTU_Senoni_#02,7.5,Coal,49,0.34,1.65,0.13,2011,40
PLTU_Sintang_#01,9,Coal,10,0.34,1.65,0.13,2018,40
PLTU_Sintang_#02,9,Coal,10,0.34,1.65,0.13,2018,40
PLTU_Sintang_#03,9,Coal,10,0.34,1.65,0.13,2018,40
PLTU_Tanjung_Redep_/_Berau_#01,9.5,Coal,58,0.34,1.65,0.13,2020,40
PLTU_Tanjung_Redep_/_Berau_#02,9.13,Coal,58,0.34,1.65,0.13,2020,40
PLTU_Teluk_Balikpapan_#01,110,Coal,43,0.34,1.65,0.13,2017,40
PLTU_Teluk_Balikpapan_#02,110,Coal,43,0.34,1.65,0.13,2017,40
PLTU_Tembilok_(IPP_Ketapang)_#01,7.5,Coal,9,0.34,1.65,0.13,2019,40
PLTU_Tembilok_(IPP_Ketapang)_#02,7.5,Coal,9,0.34,1.65,0.13,2019,40
PLTG_PLN_Tarakan_#01,15.7,Gas,60,0.56,0.75,0.13,2004,30
PLTG_PLN_Tarakan_#02,23.6,Gas,60,0.56,0.75,0.13,2011,30
PLTG_Senipah_#01,46,Gas,48,0.56,0.75,0.13,2014,30
PLTG_Senipah_#02,46,Gas,48,0.56,0.75,0.13,2015,30
PLTGU_Senipah_(ST),29.55,Gas,48,0.56,0.75,0.13,2020,30
PLTMG_Bangkanai_Blok_#01,39.076,Gas,38,0.56,0.75,0.13,2016,30
PLTMG_Bangkanai_Blok_#02,39.076,Gas,38,0.56,0.75,0.13,2016,30
PLTMG_Bangkanai_Blok_#03,39.076,Gas,38,0.56,0.75,0.13,2016,30
PLTMG_Bangkanai_Blok_#04,39.076,Gas,38,0.56,0.75,0.13,2016,30
PLTMG_Belimbing,8,Gas,58,0.56,0.75,0.13,2014,30
PLTMG_Bontang_Wartsila_#01,6.97,Gas,58,0.56,0.75,0.13,2009,30
PLTMG_Bontang_Wartsila_#02,6.97,Gas,58,0.56,0.75,0.13,2009,30
PLTMG_Gunung_Belah_#01,6,Gas,60,0.56,0.75,0.13,2004,30
PLTMG_Gunung_Belah_#02,6,Gas,60,0.56,0.75,0.13,2004,30
PLTMG_MPP_Kaltim_#01,9.78,Gas,58,0.56,0.75,0.13,2018,30
PLTMG_MPP_Kaltim_#02,9.78,Gas,58,0.56,0.75,0.13,2018,30
PLTMG_MPP_Kaltim_#03,9.78,Gas,58,0.56,0.75,0.13,2018,30
PLTMG_MPP_Kaltim_#04,9.78,Gas,58,0.56,0.75,0.13,2017,30
PLTMG_PLN_Tarakan,30,Gas,60,0.56,0.75,0.13,2004,30
PLTMG_Tanjung_Selor_Unit_1,8.912,Gas,63,0.56,0.75,0.13,2020,30
PLTMG_Tanjung_Selor_Unit_2,8.912,Gas,63,0.56,0.75,0.13,2019,30
PLTD_Air_Hitam,1.05,Oil,9,0.25,1.2,3,2001,25
PLTD_Air_Upas,0.695,Oil,9,0.25,1.2,3,2010,25
PLTD_Area_Singkawang,0.16,Oil,1,0.25,1.2,3,2010,25
PLTD_Asam_Asam,8.4,Oil,25,0.25,1.2,3,2000,25
PLTD_Atap,0.3,Oil,61,0.25,1.2,3,1983,25
PLTD_Aur_Kuning,2.755,Oil,9,0.25,1.2,3,1995,25
PLTD_Babai,0.4,Oil,21,0.25,1.2,3,1993,25
PLTD_Badau,2.085,Oil,9,0.25,1.2,3,2015,25
PLTD_Bakau,0.46,Oil,35,0.25,1.2,3,1990,25
PLTD_Balai_Bekuak,3.009,Oil,9,0.25,1.2,3,1999,25
