bus0,bus1,v_nom,capital_cost,length,carrier,r,x,nodeA,nodeB
0,1,150,10,59.2,AC,0.08,0.32,GI_Sambas,GI_Singkawang
1,3,150,10,20.829,AC,0.08,0.32,GI_Singkawang,GI_PLTU_2_Kalbar
3,2,150,10,1.393,AC,0.08,0.32,GI_PLTU_2_Kalbar,GI_PLTU_3_Kalbar
1,4,150,10,70.613,AC,0.08,0.32,GI_Singkawang,GI_Senggiring
4,5,150,10,42.848,AC,0.08,0.32,GI_Senggiring,GI_Parit_Baru
5,6,150,10,22.011,AC,0.08,0.32,GI_Parit_Baru,GI_Kota_Baru
5,7,150,10,16.708,AC,0.08,0.32,GI_Parit_Baru,GI_Siantan
7,8,150,10,18.14,AC,0.08,0.32,GI_Siantan,GI_Sei_Raya
7,9,150,10,99.173,AC,0.08,0.32,GI_Siantan,GI_Tayan
9,10,150,10,47.271,AC,0.08,0.32,GI_Tayan,GI_Ngabang
10,11,150,10,95.473,AC,0.08,0.32,GI_Ngabang,GI_Bengkayang
11,1,150,10,73.947,AC,0.08,0.32,GI_Bengkayang,GI_Singkawang
11,12,150,10,0.104,AC,0.08,0.32,GI_Bengkayang,GITET_Bengkayang
13,14,150,10,162.004,AC,0.08,0.32,GI_Pangkalanbun,GI_Sampit
15,14,150,10,40.323,AC,0.08,0.32,GI_PLTU_Sampit,GI_Sampit
14,16,150,10,106.631,AC,0.08,0.32,GI_Sampit,GI_Kasongan
16,17,150,10,65.985,AC,0.08,0.32,GI_Kasongan,GI_Palangkaraya
17,18,150,10,14.309,AC,0.08,0.32,GI_Palangkaraya,GI_Sebangau
18,19,150,10,71.353,AC,0.08,0.32,GI_Sebangau,GI_Pulau_Pisang
19,20,150,10,13.191,AC,0.08,0.32,GI_Pulau_Pisang,GI_S_Mintin
20,21,150,10,28.124,AC,0.08,0.32,GI_S_Mintin,GI_Selat
21,22,150,10,41.211,AC,0.08,0.32,GI_Selat,GI_Seberang_Barito
22,23,150,10,5.487,AC,0.08,0.32,GI_Seberang_Barito,GI_Trisakti
23,24,150,10,15.387,AC,0.08,0.32,GI_Trisakti,GI_Mantuil
24,25,150,10,99.901,AC,0.08,0.32,GI_Mantuil,GI_Asam-asam
25,26,150,10,53.115,AC,0.08,0.32,GI_Asam-asam,GI_Satui
26,27,150,10,63.741,AC,0.08,0.32,GI_Satui,GI_Batulicin
25,29,150,10,58.919,AC,0.08,0.32,GI_Asam-asam,GI_Pelaihari
29,28,150,10,33.123,AC,0.08,0.32,GI_Pelaihari,GI_Cempaka
24,30,150,10,16.075,AC,0.08,0.32,GI_Mantuil,GI_Bandara
30,28,150,10,10.746,AC,0.08,0.32,GI_Bandara,GI_Cempaka
28,31,150,10,60.632,AC,0.08,0.32,GI_Cempaka,GI_Rantau
31,32,150,10,46.202,AC,0.08,0.32,GI_Rantau,GI_Barikin
22,33,150,10,18.645,AC,0.08,0.32,GI_Seberang_Barito,GI_Kayutangi
33,32,150,10,105.161,AC,0.08,0.32,GI_Kayutangi,GI_Barikin
32,34,150,10,30.461,AC,0.08,0.32,GI_Barikin,GI_Amuntai
32,35,150,10,59.659,AC,0.08,0.32,GI_Barikin,GI_Tanjung
35,36,150,10,79.01,AC,0.08,0.32,GI_Tanjung,GI_Buntok
36,37,150,10,118.07,AC,0.08,0.32,GI_Buntok,GI_Muara_Teweh
37,38,150,10,43.641,AC,0.08,0.32,GI_Muara_Teweh,GI_Bangkanai
35,39,150,10,94.666,AC,0.08,0.32,GI_Tanjung,GI_Muara_Komam
39,40,150,10,27.589,AC,0.08,0.32,GI_Muara_Komam,GI_Kuaro
40,41,150,10,14.658,AC,0.08,0.32,GI_Kuaro,GI_Grogot
40,42,150,10,44.832,AC,0.08,0.32,GI_Kuaro,GI_Longikis
42,43,150,10,44.514,AC,0.08,0.32,GI_Longikis,GI_Petung
43,44,150,10,48.163,AC,0.08,0.32,GI_Petung,GI_Kariangau
44,45,150,10,11.473,AC,0.08,0.32,GI_Kariangau,GI_Karangjoang
45,46,150,10,13.749,AC,0.08,0.32,GI_Karangjoang,GI_Manggar_Sari
46,47,150,10,13.615,AC,0.08,0.32,GI_Manggar_Sari,GI_Industri
46,48,150,10,42.687,AC,0.08,0.32,GI_Manggar_Sari,GI_Senipah
45,49,150,10,75.274,AC,0.08,0.32,GI_Karangjoang,GI_Harapan_Baru
49,50,150,10,8.31,AC,0.08,0.32,GI_Harapan_Baru,GI_Tengkawang
50,51,150,10,15.935,AC,0.08,0.32,GI_Tengkawang,GI_Embalut
51,52,150,10,20.491,AC,0.08,0.32,GI_Embalut,GI_Bukit_Biru
52,53,150,10,53.727,AC,0.08,0.32,GI_Bukit_Biru,GI_Kotabangun
49,54,150,10,10.867,AC,0.08,0.32,GI_Harapan_Baru,GI_Bukuan
54,55,150,10,28.882,AC,0.08,0.32,GI_Bukuan,GI_Muara_Jawa
54,56,150,10,7.177,AC,0.08,0.32,GI_Bukuan,GI_Sambutan
56,57,150,10,27.134,AC,0.08,0.32,GI_Sambutan,GI_Muara_Badak
57,58,150,10,57.5,AC,0.08,0.32,GI_Muara_Badak,GI_Teluk_Pandan
58,59,150,10,42.347,AC,0.08,0.32,GI_Teluk_Pandan,GI_Sangatta
60,61,150,10,28.625,AC,0.08,0.32,GI_Malinau,GI_Tideng_Pale
62,59,150,10,95.892,AC,0.08,0.32,GI_Muara_Wahau,GI_Sangatta
62,63,150,10,197.219,AC,0.08,0.32,GI_Muara_Wahau,GI_Bulungan
63,60,150,10,112.814,AC,0.08,0.32,GI_Bulungan,GI_Malinau
