local_time,PLTS_Kayan_Hulu_ESDM,PLTS_Lumbis_Ogong_ESDM,PLTS_Pulau_Limbung,PLTS_Sebatik,PLTS_Sebatik_ESDM,PLTS_Sebuku_ESDM,PLTS_Seimenggaris_ESDM,PLTS_Sidding,PLTS_Temajuk,PLTS_Tulin_Onsoi_ESDM
01/01/2021 00:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 01:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 02:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 03:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 04:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 05:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 06:00,0.001508,0.001308,0.009155,0.007392,0.004219,0.001627,0.001814,0,0.003831,0.001557
01/01/2021 07:00,0.013244,0.01472,0.024368,0.058182,0.034092,0.016418,0.016753,0.002881,0.005682,0.016327
01/01/2021 08:00,0.015161,0.018476,0.045088,0.054756,0.032608,0.01968,0.017874,0.004376,0.010652,0.020063
01/01/2021 09:00,0.022306,0.028759,0.061162,0.083637,0.04959,0.028963,0.026745,0.007803,0.016167,0.029646
01/01/2021 10:00,0.028311,0.036585,0.072279,0.100771,0.059785,0.034751,0.032423,0.010897,0.019854,0.036368
01/01/2021 11:00,0.030954,0.0378,0.073165,0.110659,0.065176,0.035251,0.033999,0.012429,0.021153,0.036955
01/01/2021 12:00,0.03016,0.037151,0.062575,0.115335,0.066929,0.034868,0.033374,0.012815,0.022336,0.035961
01/01/2021 13:00,0.026725,0.032784,0.054527,0.109923,0.063985,0.031461,0.031578,0.013048,0.021175,0.032499
01/01/2021 14:00,0.019737,0.023753,0.04172,0.087138,0.050865,0.023448,0.024746,0.012707,0.015669,0.024054
01/01/2021 15:00,0.012122,0.0141,0.028286,0.056863,0.032824,0.014231,0.015415,0.010168,0.010161,0.014805
01/01/2021 16:00,0.00575,0.00548,0.011925,0.027547,0.015598,0.005677,0.006677,0.006488,0.004433,0.005848
01/01/2021 17:00,0.001106,0.001089,0.00038,0.005238,0.002987,0.001105,0.001287,0.00221,0.000218,0.001096
01/01/2021 18:00,0,0,0,0,0,0,0,0.00006,0,0
01/01/2021 19:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 20:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 21:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 22:00,0,0,0,0,0,0,0,0,0,0
01/01/2021 23:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 00:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 01:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 02:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 03:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 04:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 05:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 06:00,0.000368,0.000184,0.007354,0.001388,0.000804,0.000257,0.00035,0,0.004233,0.000268
02/01/2021 07:00,0.005642,0.005436,0.025091,0.020253,0.012369,0.005942,0.006643,0.00224,0.013328,0.006115
02/01/2021 08:00,0.014099,0.014419,0.042936,0.048167,0.029436,0.015775,0.016341,0.006898,0.020584,0.016256
02/01/2021 09:00,0.021699,0.024913,0.054595,0.072557,0.044058,0.026129,0.024919,0.011564,0.02749,0.026825
02/01/2021 10:00,0.028404,0.032786,0.059924,0.090894,0.054733,0.032104,0.030401,0.01534,0.033082,0.033007
02/01/2021 11:00,0.030738,0.038016,0.063117,0.103417,0.061264,0.035942,0.033325,0.018206,0.037326,0.037597
02/01/2021 12:00,0.028101,0.039783,0.062844,0.103809,0.061302,0.036421,0.033427,0.019937,0.040126,0.038329
02/01/2021 13:00,0.023216,0.035681,0.05432,0.08678,0.050551,0.030912,0.027384,0.019685,0.037568,0.032968
02/01/2021 14:00,0.019427,0.025938,0.041738,0.069383,0.040579,0.020669,0.020676,0.016545,0.028627,0.021979
02/01/2021 15:00,0.014187,0.016409,0.026757,0.046549,0.027381,0.013033,0.013677,0.011658,0.01931,0.013641
02/01/2021 16:00,0.007961,0.008121,0.010901,0.022494,0.01316,0.006672,0.006506,0.007557,0.008171,0.006647
02/01/2021 17:00,0.001973,0.001707,0.000489,0.004038,0.002399,0.001444,0.001275,0.003444,0.000509,0.001416
02/01/2021 18:00,0,0,0,0,0,0,0,0.000205,0,0
02/01/2021 19:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 20:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 21:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 22:00,0,0,0,0,0,0,0,0,0,0
02/01/2021 23:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 00:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 01:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 02:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 03:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 04:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 05:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 06:00,0.001877,0.001665,0.006635,0.005958,0.003551,0.001709,0.001767,0,0.002554,0.001621
03/01/2021 07:00,0.016426,0.018022,0.024023,0.05179,0.031322,0.017017,0.016738,0.001894,0.011001,0.016488
03/01/2021 08:00,0.035276,0.039433,0.043463,0.113002,0.068488,0.037622,0.036832,0.006561,0.02223,0.03658
03/01/2021 09:00,0.04791,0.055427,0.058241,0.159409,0.095923,0.05324,0.051245,0.011838,0.031116,0.052421
03/01/2021 10:00,0.054626,0.065434,0.064981,0.189566,0.113071,0.062964,0.060028,0.015634,0.037781,0.063376
03/01/2021 11:00,0.057357,0.06739,0.065149,0.19657,0.116139,0.065489,0.061196,0.018888,0.040557,0.06667
03/01/2021 12:00,0.053485,0.066695,0.059488,0.192515,0.112586,0.063913,0.058317,0.019237,0.038647,0.064622
03/01/2021 13:00,0.048388,0.059731,0.050722,0.174781,0.102593,0.058015,0.053234,0.0187,0.031984,0.058223
03/01/2021 14:00,0.040555,0.050449,0.039743,0.150318,0.088124,0.048902,0.045525,0.014535,0.023532,0.049382
03/01/2021 15:00,0.02879,0.036103,0.02575,0.103064,0.059246,0.033971,0.029481,0.009689,0.01609,0.033711
03/01/2021 16:00,0.016017,0.019956,0.010853,0.052614,0.030227,0.01715,0.014848,0.005792,0.007368,0.016984
03/01/2021 17:00,0.003972,0.004221,0.000567,0.010308,0.005921,0.003308,0.002801,0.002357,0.000489,0.003072
03/01/2021 18:00,0,0,0,0,0,0,0,0.000106,0,0
03/01/2021 19:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 20:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 21:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 22:00,0,0,0,0,0,0,0,0,0,0
03/01/2021 23:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 00:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 01:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 02:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 03:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 04:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 05:00,0,0,0,0,0,0,0,0,0,0
04/01/2021 06:00,0.000902,0.000827,0.009242,0.004482,0.002785,0.001269,0.001518,0,0.003929,0.001241
04/01/2021 07:00,0.007925,0.010066,0.031705,0.033047,0.020691,0.012036,0.012349,0.00174,0.014023,0.012327
