nodeA,nodeB,bus0,bus1,v_nom,capital_cost,length,carrier,cables,wires,r,x,lon0,lat0,lon1,lat1,wkt_srid_4326
GI_Sambas,GI_Singkawang,0,1,150,10,59.2,AC,3,2,0.08,0.32,109.2688,1.3429,108.9876,0.9266,"'SRID=4326;LINESTRING(109.2688 1.3429,108.9876 0.9266)'"
GI_Singkawang,GI_PLTU_2_Kalbar,1,3,150,10,20.829,AC,3,2,0.08,0.32,108.9876,0.9266,108.8653,0.83,"'SRID=4326;LINESTRING(108.9876 0.9266,108.8653 0.83)'"
GI_PLTU_2_Kalbar,GI_PLTU_3_Kalbar,3,2,150,10,1.393,AC,3,2,0.08,0.32,108.8653,0.83,108.8747,0.8361,"'SRID=4326;LINESTRING(108.8653 0.83,108.8747 0.8361)'"
GI_Singkawang,GI_Senggiring,1,4,150,10,70.613,AC,3,2,0.08,0.32,108.9876,0.9266,108.9853,0.3162,"'SRID=4326;LINESTRING(108.9876 0.9266,108.9853 0.3162)'"
GI_Senggiring,GI_Parit_Baru,4,5,150,10,42.848,AC,3,2,0.08,0.32,108.9853,0.3162,109.2055,0.0592,"'SRID=4326;LINESTRING(108.9853 0.3162,109.2055 0.0592)'"
GI_Parit_Baru,GI_Kota_Baru,5,6,150,10,22.011,AC,3,2,0.08,0.32,109.2055,0.0592,109.2987,-0.0754,"'SRID=4326;LINESTRING(109.2055 0.0592,109.2987 -0.0754)'"
GI_Parit_Baru,GI_Siantan,5,7,150,10,16.708,AC,3,2,0.08,0.32,109.2055,0.0592,109.328,-0.0002,"'SRID=4326;LINESTRING(109.2055 0.0592,109.328 -0.0002)'"
GI_Siantan,GI_Sei_Raya,7,8,150,10,18.14,AC,3,2,0.08,0.32,109.328,-0.0002,109.3809,-0.0735,"'SRID=4326;LINESTRING(109.328 -0.0002,109.3809 -0.0735)'"
GI_Siantan,GI_Tayan,7,9,150,10,99.173,AC,3,2,0.08,0.32,109.328,-0.0002,110.0932,0.0015,"'SRID=4326;LINESTRING(109.328 -0.0002,110.0932 0.0015)'"
GI_Tayan,GI_Ngabang,9,10,150,10,47.271,AC,3,2,0.08,0.32,110.0932,0.0015,110.001,0.3534,"'SRID=4326;LINESTRING(110.0932 0.0015,110.001 0.3534)'"
GI_Ngabang,GI_Bengkayang,10,11,150,10,95.473,AC,3,2,0.08,0.32,110.001,0.3534,109.4967,0.9056,"'SRID=4326;LINESTRING(110.001 0.3534,109.4967 0.9056)'"
GI_Bengkayang,GI_Singkawang,11,1,150,10,73.947,AC,3,2,0.08,0.32,109.4967,0.9056,108.9876,0.9266,"'SRID=4326;LINESTRING(109.4967 0.9056,108.9876 0.9266)'"
GI_Bengkayang,GITET_Bengkayang,11,12,150,10,0.104,AC,3,2,0.08,0.32,109.4967,0.9056,109.4966,0.9066,"'SRID=4326;LINESTRING(109.4967 0.9056,109.4966 0.9066)'"
GI_Pangkalanbun,GI_Sampit,13,14,150,10,162.004,AC,3,2,0.08,0.32,111.7037,-2.6152,112.9207,-2.4816,"'SRID=4326;LINESTRING(111.7037 -2.6152,112.9207 -2.4816)'"
GI_PLTU_Sampit,GI_Sampit,15,14,150,10,40.323,AC,3,2,0.08,0.32,112.9101,-2.7625,112.9207,-2.4816,"'SRID=4326;LINESTRING(112.9101 -2.7625,112.9207 -2.4816)'"
GI_Sampit,GI_Kasongan,14,16,150,10,106.631,AC,3,2,0.08,0.32,112.9207,-2.4816,113.4337,-1.9002,"'SRID=4326;LINESTRING(112.9207 -2.4816,113.4337 -1.9002)'"
GI_Kasongan,GI_Palangkaraya,16,17,150,10,65.985,AC,3,2,0.08,0.32,113.4337,-1.9002,113.8739,-2.1748,"'SRID=4326;LINESTRING(113.4337 -1.9002,113.8739 -2.1748)'"
GI_Palangkaraya,GI_Sebangau,17,18,150,10,14.309,AC,3,2,0.08,0.32,113.8739,-2.1748,113.9302,-2.2748,"'SRID=4326;LINESTRING(113.8739 -2.1748,113.9302 -2.2748)'"
GI_Sebangau,GI_Pulau_Pisang,18,19,150,10,71.353,AC,3,2,0.08,0.32,113.9302,-2.2748,114.2547,-2.7316,"'SRID=4326;LINESTRING(113.9302 -2.2748,114.2547 -2.7316)'"
GI_Pulau_Pisang,GI_S_Mintin,19,20,150,10,13.191,AC,3,2,0.08,0.32,114.2547,-2.7316,114.2086,-2.8214,"'SRID=4326;LINESTRING(114.2547 -2.7316,114.2086 -2.8214)'"
GI_S_Mintin,GI_Selat,20,21,150,10,28.124,AC,3,2,0.08,0.32,114.2086,-2.8214,114.3736,-3.0121,"'SRID=4326;LINESTRING(114.2086 -2.8214,114.3736 -3.0121)'"
GI_Selat,GI_Seberang_Barito,21,22,150,10,41.211,AC,3,2,0.08,0.32,114.3736,-3.0121,114.5522,-3.2767,"'SRID=4326;LINESTRING(114.3736 -3.0121,114.5522 -3.2767)'"
GI_Seberang_Barito,GI_Trisakti,22,23,150,10,5.487,AC,3,2,0.08,0.32,114.5522,-3.2767,114.571,-3.3094,"'SRID=4326;LINESTRING(114.5522 -3.2767,114.571 -3.3094)'"
