node,type,lon,lat,v_nom,control,generator
0,substation,108.9092,0.864233333,150,Slack,
1,substation,116.87775,-1.190416667,150,Slack,
2,substation,114.7738222,-3.429133333,150,PQ,
3,substation,116.9458333,3.298766667,150,PQ,
4,substation,110.0303,-1.7742,150,PQ,
5,substation,113.7459333,-2.1166,150,PQ,
6,substation,117.50215,0.31575,150,PQ,
7,substation,110.0471,0.17745,150,PQ,
8,substation,111.7037,-2.6152,150,PQ,
9,substation,117.0814444,-0.484733333,150,PQ,
10,substation,115.26295,-2.26065,150,PQ,
11,substation,115.00215,-0.7442,150,PQ,
12,substation,110.9554667,0.0639,150,PQ,
13,substation,109.23968,0.04526,150,PQ,
14,substation,115.7526,-3.59745,150,PQ,
15,substation,116.11315,-1.761425,150,PQ,
16,substation,112.9154,-2.62205,150,PQ,
17,substation,114.2789667,-2.855033333,150,PQ,
18,substation,109.55835,1.117425,150,PQ,
19,substation,116.9215,1.0533,150,PQ,
