type,node0,node1,coords0,coords1,lon0,lat0,lon1,lat1,length_m
substation,GI_Sambas,GI_Singkawang,"109.2688,1.3429","108.9876,0.9266",109.2688,1.3429,108.9876,0.9266,59200
substation,GI_Singkawang,GI_PLTU_2_Kalbar,"108.9876,0.9266","108.8653,0.83",108.9876,0.9266,108.8653,0.83,20829
substation,GI_PLTU_2_Kalbar,GI_PLTU_3_Kalbar,"108.8653,0.83","108.8747,0.8361",108.8653,0.83,108.8747,0.8361,1393
substation,GI_Singkawang,GI_Senggiring,"108.9876,0.9266","108.9853,0.3162",108.9876,0.9266,108.9853,0.3162,70613
substation,GI_Senggiring,GI_Parit_Baru,"108.9853,0.3162","109.2055,0.0592",108.9853,0.3162,109.2055,0.0592,42848
substation,GI_Parit_Baru,GI_Kota_Baru,"109.2055,0.0592","109.2987,-0.0754",109.2055,0.0592,109.2987,-0.0754,22011
substation,GI_Parit_Baru,GI_Siantan,"109.2055,0.0592","109.328,-0.0002",109.2055,0.0592,109.328,-0.0002,16708
substation,GI_Siantan,GI_Sei_Raya,"109.328,-0.0002","109.3809,-0.0735",109.328,-0.0002,109.3809,-0.0735,18140
substation,GI_Siantan,GI_Tayan,"109.328,-0.0002","110.0932,0.0015",109.328,-0.0002,110.0932,0.0015,99173
substation,GI_Tayan,GI_Ngabang,"110.0932,0.0015","110.001,0.3534",110.0932,0.0015,110.001,0.3534,47271
substation,GI_Ngabang,GI_Bengkayang,"110.001,0.3534","109.4967,0.9056",110.001,0.3534,109.4967,0.9056,95473
substation,GI_Bengkayang,GI_Singkawang,"109.4967,0.9056","108.9876,0.9266",109.4967,0.9056,108.9876,0.9266,73947
substation,GI_Bengkayang,GITET_Bengkayang,"109.4967,0.9056","109.4966,0.9066",109.4967,0.9056,109.4966,0.9066,104
substation,GI_Pangkalanbun,GI_Sampit,"111.7037,-2.6152","112.9207,-2.4816",111.7037,-2.6152,112.9207,-2.4816,162004
substation,GI_PLTU_Sampit,GI_Sampit,"112.9101,-2.7625","112.9207,-2.4816",112.9101,-2.7625,112.9207,-2.4816,40323
substation,GI_Sampit,GI_Kasongan,"112.9207,-2.4816","113.4337,-1.9002",112.9207,-2.4816,113.4337,-1.9002,106631
substation,GI_Kasongan,GI_Palangkaraya,"113.4337,-1.9002","113.8739,-2.1748",113.4337,-1.9002,113.8739,-2.1748,65985
substation,GI_Palangkaraya,GI_Sebangau,"113.8739,-2.1748","113.9302,-2.2748",113.8739,-2.1748,113.9302,-2.2748,14309
substation,GI_Sebangau,GI_Pulau_Pisang,"113.9302,-2.2748","114.2547,-2.7316",113.9302,-2.2748,114.2547,-2.7316,71353
substation,GI_Pulau_Pisang,GI_S_Mintin,"114.2547,-2.7316","114.2086,-2.8214",114.2547,-2.7316,114.2086,-2.8214,13191
substation,GI_S_Mintin,GI_Selat,"114.2086,-2.8214","114.3736,-3.0121",114.2086,-2.8214,114.3736,-3.0121,28124
substation,GI_Selat,GI_Seberang_Barito,"114.3736,-3.0121","114.5522,-3.2767",114.3736,-3.0121,114.5522,-3.2767,41211
substation,GI_Seberang_Barito,GI_Trisakti,"114.5522,-3.2767","114.571,-3.3094",114.5522,-3.2767,114.571,-3.3094,5487
substation,GI_Trisakti,GI_Mantuil,"114.571,-3.3094","114.627,-3.4236",114.571,-3.3094,114.627,-3.4236,15387
substation,GI_Mantuil,GI_Asam-asam,"114.627,-3.4236","115.1049,-3.9253",114.627,-3.4236,115.1049,-3.9253,99901
substation,GI_Asam-asam,GI_Satui,"115.1049,-3.9253","115.519,-3.7127",115.1049,-3.9253,115.519,-3.7127,53115
substation,GI_Satui,GI_Batulicin,"115.519,-3.7127","115.9862,-3.4822",115.519,-3.7127,115.9862,-3.4822,63741
substation,GI_Asam-asam,GI_Pelaihari,"115.1049,-3.9253","114.7576,-3.7296",115.1049,-3.9253,114.7576,-3.7296,58919
substation,GI_Pelaihari,GI_Cempaka,"114.7576,-3.7296","114.8499,-3.4658",114.7576,-3.7296,114.8499,-3.4658,33123
substation,GI_Mantuil,GI_Bandara,"114.627,-3.4236","114.7553,-3.4725",114.627,-3.4236,114.7553,-3.4725,16075
substation,GI_Bandara,GI_Cempaka,"114.7553,-3.4725","114.8499,-3.4658",114.7553,-3.4725,114.8499,-3.4658,10746
substation,GI_Cempaka,GI_Rantau,"114.8499,-3.4658","115.126,-3.0289",114.8499,-3.4658,115.126,-3.0289,60632
substation,GI_Rantau,GI_Barikin,"115.126,-3.0289","115.3276,-2.6843",115.126,-3.0289,115.3276,-2.6843,46202
