" ,node0,node1,bus0,bus1,lon0,lat0,lon1,lat1, "
" ,GI_Sambas,GI_Singkawang,447,448,109.2688,1.3429,108.9876,0.9266, "
" ,GI_Singkawang,GI_PLTU_2_Kalbar,448,450,108.9876,0.9266,108.8653,0.83, "
" ,GI_PLTU_2_Kalbar,GI_PLTU_3_Kalbar,450,449,108.8653,0.83,108.8747,0.8361, "
" ,GI_Singkawang,GI_Senggiring,448,451,108.9876,0.9266,108.9853,0.3162, "
" ,GI_Senggiring,GI_Parit_Baru,451,452,108.9853,0.3162,109.2055,0.0592, "
" ,GI_Parit_Baru,GI_Kota_Baru,452,453,109.2055,0.0592,109.2987,-0.0754, "
" ,GI_Parit_Baru,GI_Siantan,452,454,109.2055,0.0592,109.328,-0.0002, "
" ,GI_Siantan,GI_Sei_Raya,454,455,109.328,-0.0002,109.3809,-0.0735, "
" ,GI_Siantan,GI_Tayan,454,456,109.328,-0.0002,110.0932,0.0015, "
" ,GI_Tayan,GI_Ngabang,456,457,110.0932,0.0015,110.001,0.3534, "
" ,GI_Ngabang,GI_Bengkayang,457,458,110.001,0.3534,109.4967,0.9056, "
" ,GI_Bengkayang,GI_Singkawang,458,448,109.4967,0.9056,108.9876,0.9266, "
" ,GI_Bengkayang,GITET_Bengkayang,458,459,109.4967,0.9056,109.4966,0.9066, "
" ,GI_Pangkalanbun,GI_Sampit,460,461,111.7037,-2.6152,112.9207,-2.4816, "
" ,GI_PLTU_Sampit,GI_Sampit,462,461,112.9101,-2.7625,112.9207,-2.4816, "
" ,GI_Sampit,GI_Kasongan,461,463,112.9207,-2.4816,113.4337,-1.9002, "
" ,GI_Kasongan,GI_Palangkaraya,463,464,113.4337,-1.9002,113.8739,-2.1748, "
" ,GI_Palangkaraya,GI_Sebangau,464,465,113.8739,-2.1748,113.9302,-2.2748, "
" ,GI_Sebangau,GI_Pulau_Pisang,465,466,113.9302,-2.2748,114.2547,-2.7316, "
" ,GI_Pulau_Pisang,GI_S_Mintin,466,467,114.2547,-2.7316,114.2086,-2.8214, "
" ,GI_S_Mintin,GI_Selat,467,468,114.2086,-2.8214,114.3736,-3.0121, "
" ,GI_Selat,GI_Seberang_Barito,468,469,114.3736,-3.0121,114.5522,-3.2767, "
" ,GI_Seberang_Barito,GI_Trisakti,469,470,114.5522,-3.2767,114.571,-3.3094, "
" ,GI_Trisakti,GI_Mantuil,470,471,114.571,-3.3094,114.627,-3.4236, "
" ,GI_Mantuil,GI_Asam-asam,471,472,114.627,-3.4236,115.1049,-3.9253, "
" ,GI_Asam-asam,GI_Satui,472,473,115.1049,-3.9253,115.519,-3.7127, "
" ,GI_Satui,GI_Batulicin,473,474,115.519,-3.7127,115.9862,-3.4822, "
" ,GI_Asam-asam,GI_Pelaihari,472,476,115.1049,-3.9253,114.7576,-3.7296, "
" ,GI_Pelaihari,GI_Cempaka,476,475,114.7576,-3.7296,114.8499,-3.4658, "
" ,GI_Mantuil,GI_Bandara,471,477,114.627,-3.4236,114.7553,-3.4725, "
" ,GI_Bandara,GI_Cempaka,477,475,114.7553,-3.4725,114.8499,-3.4658, "
" ,GI_Cempaka,GI_Rantau,475,478,114.8499,-3.4658,115.126,-3.0289, "
" ,GI_Rantau,GI_Barikin,478,479,115.126,-3.0289,115.3276,-2.6843, "
" ,GI_Seberang_Barito,GI_Kayutangi,469,480,114.5522,-3.2767,114.6205,-3.2304, "
" ,GI_Kayutangi,GI_Barikin,480,479,114.6205,-3.2304,115.3276,-2.6843, "
" ,GI_Barikin,GI_Amuntai,479,481,115.3276,-2.6843,115.2949,-2.4171, "
" ,GI_Barikin,GI_Tanjung,479,482,115.3276,-2.6843,115.4505,-2.1953, "
" ,GI_Tanjung,GI_Buntok,482,483,115.4505,-2.1953,114.9788,-1.7459, "
" ,GI_Buntok,GI_Muara_Teweh,483,484,114.9788,-1.7459,114.8658,-0.8672, "
" ,GI_Muara_Teweh,GI_Bangkanai,484,485,114.8658,-0.8672,115.1385,-0.6212, "
" ,GI_Tanjung,GI_Muara_Komam,485,486,115.4505,-2.1953,115.8694,-1.828, "
" ,GI_Muara_Komam,GI_Kuaro,486,487,115.8694,-1.828,116.0945,-1.8032, "
" ,GI_Kuaro,GI_Grogot,487,488,116.0945,-1.8032,116.1656,-1.8984, "
" ,GI_Kuaro,GI_Longikis,487,489,116.0945,-1.8032,116.3231,-1.5161, "
" ,GI_Longikis,GI_Petung,489,490,116.3231,-1.5161,116.6719,-1.3408, "
" ,GI_Petung,GI_Kariangau,490,491,116.6719,-1.3408,116.792,-1.1657, "
" ,GI_Kariangau,GI_Karangjoang,491,492,116.792,-1.1657,116.8777,-1.1488, "
" ,GI_Karangjoang,GI_Manggar_Sari,492,493,116.8777,-1.1488,116.9488,-1.2383, "
" ,GI_Manggar_Sari,GI_Industri,493,494,116.9488,-1.2383,116.8411,-1.262, "
" ,GI_Manggar_Sari,GI_Senipah,493,495,116.9488,-1.2383,117.135,-0.9869, "
" ,GI_Karangjoang,GI_Harapan_Baru,492,496,116.8777,-1.1488,117.1063,-0.547, "
" ,GI_Harapan_Baru,GI_Tengkawang,496,497,117.1063,-0.547,117.1136,-0.5024, "
" ,GI_Tengkawang,GI_Embalut,497,498,117.1136,-0.5024,117.0518,-0.3816, "
" ,GI_Embalut,GI_Bukit_Biru,498,499,117.0518,-0.3816,116.978,-0.456, "
" ,GI_Bukit_Biru,GI_Kotabangun,499,500,116.978,-0.456,116.5953,-0.2716, "
" ,GI_Harapan_Baru,GI_Bukuan,496,501,117.1063,-0.547,117.193,-0.5832, "
" ,GI_Bukuan,GI_Muara_Jawa,501,502,117.193,-0.5832,117.1886,-0.7806, "
" ,GI_Bukuan,GI_Sambutan,501,503,117.193,-0.5832,117.2139,-0.5242, "
" ,GI_Sambutan,GI_Muara_Badak,503,504,117.2139,-0.5242,117.2925,-0.316, "
" ,GI_Muara_Badak,GI_Teluk_Pandan,504,505,117.2925,-0.316,117.435,0.1614, "
" ,GI_Teluk_Pandan,GI_Sangatta,505,506,117.435,0.1614,117.5693,0.4701, "
" ,GI_Malinau,GI_Tideng_Pale,507,508,116.6286,3.5114,116.8411,3.5748, "
