" ,node,type,lon,lat,p_nom, "
" ,PLTD_Trisakti,generator,114.572,-3.31,54.2, "
" ,PLTD_Kuala_Kapuas,generator,114.374,-3.012,6, "
" ,PLTD_Barabai,generator,115.376,-2.593,6.672, "
" ,PLTD_Panangkalaan,generator,115.262,-2.404,8.534, "
" ,PLTD_Maburai,generator,115.45,-2.195,1.88, "
" ,PLTA_IR._PM_Noor,generator,115.008,-3.516,30, "
" ,PLTD_Asam_Asam,generator,115.105,-3.925,8.4, "
" ,PLTD_Karang_Asam,generator,117.114,-0.502,40, "
" ,PLTD_Bontang,generator,117.459,0.145,27.59, "
" ,PLTD_Kledang,generator,117.122,-0.523,40.03, "
" ,PLTU_Mangkujenang,generator,117.156,-0.539,4, "
" ,PLTD_Tanah_Grogot,generator,116.18,-1.888,3.19, "
" ,PLTD_Petung,generator,116.67,-1.342,5.812, "
" ,PLTD_Batu_Sopang,generator,115.912,-1.82,8.4, "
" ,PLTD_Long_Ikis,generator,116.187,-1.6,2.6, "
" ,PLTD_Gunung_Malang,generator,116.841,-1.263,20.0799999999999, "
" ,PLTD_Batakan_Unit,generator,116.951,-1.238,12.16, "
" ,PLTD_Cogindo_(MFO),generator,116.951,-1.238,40, "
" ,PLTD_CDE_Karang_Joang_(MFO),generator,116.878,-1.149,30, "
" ,PLTD_Muara_Komam,generator,115.812,-1.675,2.79, "
" ,PLTD_Kerang,generator,116.082,-2.239,0.96, "
" ,PLTD_Tanjung_Aru,generator,116.584,-2.175,0.4, "
" ,PLTD_Jenebora/Gresik,generator,116.735,-1.186,0.76, "
" ,PLTD_Siantan,generator,109.327,-0.002,49.8999999999999, "
" ,PLTD_Sei_Raya,generator,109.38,-0.072,50.3999999999999, "
" ,PLTD_Sudirman,generator,108.998,0.911,5.585, "
" ,PLTD_Sei_Wie,generator,108.987,0.926,18.3999999999999, "
" ,PLTBm_PT._Rezeki,generator,109.286,0.011,10, "
" ,PLTD_Sewa_Ake,generator,109.328,-0.001,20, "
" ,PLTD_Artiduta,generator,109.38,-0.074,45, "
" ,PLTD_Bugak_Berawang,generator,109.203,0.061,30, "
" ,PLTA_SESCO_275,generator,110.35,1.354,90, "
" ,PLTD_Muara_Bengkal,generator,116.674,0.437,4.548, "
" ,PLTD_Muara_Wahau,generator,116.843,1.045,6.894, "
" ,PLTD_Sepaso,generator,117.561,0.756,4.49, "
" ,PLTD_Sepaso_Pemkab,generator,117.561,0.756,0.92, "
" ,PLTD_Sepaso_KPC,generator,117.561,0.756,0.22, "
" ,PLTD_Sepaso_Altrak,generator,117.561,0.756,1.9, "
" ,PLTD_Sangkulirang,generator,117.98,0.986,3, "
" ,PLTD_Sangkulirang_Pemkab,generator,117.98,0.986,0.8, "
" ,PLTD_Sewa_Sentawar_Pemkab_Kubar,generator,115.801,-0.242,5.2, "
" ,PLTD_Sentawar,generator,115.801,-0.242,24.6099999999999, "
" ,PLTD_Melak,generator,115.831,-0.212,24.6099999999999, "
" ,PLTD_Sambaliung,generator,117.511,2.158,15.9179999999999, "
" ,PLTD_Malinau,generator,116.611,3.541,10.64, "
" ,PLTD_Selor,generator,117.386,2.832,19.384, "
" ,PLTD_Kahayan/Area_Palangka_Raya,generator,113.874,-1.827,17.4499999999999, "
" ,PLTD_Rayon_Sampit,generator,112.969,-2.516,3.88, "
" ,PLTD_Pangkalan_Bun,generator,111.731,-2.73,7.12, "
" ,PLTD_Rayon_Nanga_Bulik,generator,111.469,-2.187,10.848, "
" ,PLTD_Sewa_PGL_Pangkalan_Bun,generator,111.731,-2.73,4, "
" ,PLTD_Sewa_Kaltimex_Pangkalan_Bun,generator,111.731,-2.73,14, "
" ,PLTD_Sewa_UPM_Pangkalan_Banteng,generator,111.824,-2.607,2.5, "
" ,PLTD_Sewa_Kaltimex_Sampit,generator,112.97,-2.516,8, "
" ,PLTD_Kotabaru,generator,116.212,-3.254,15.47, "
" ,PLTBm_Kotawaringin_Barat,generator,111.967,-2.052,10, "
" ,PLTD_Kumai,generator,111.728,-2.725,11, "
" ,PLTD_Muara_Teweh,generator,114.883,-0.926,8.81, "
" ,PLTD_Puruk_Cahu,generator,114.583,-0.583,2.19, "
