" ,node,type,node1,lon,lat,length_m, "
" ,GI_Sambas,substation,GI_Singkawang,109.2688,1.3429,59200, "
" ,GI_Singkawang,substation,GI_PLTU_2_Kalbar,108.9876,0.9266,20829, "
" ,GI_PLTU_2_Kalbar,substation,GI_PLTU_3_Kalbar,108.8653,0.83,1393, "
" ,GI_Singkawang,substation,GI_Senggiring,108.9876,0.9266,70613, "
" ,GI_Senggiring,substation,GI_Parit_Baru,108.9853,0.3162,42848, "
" ,GI_Parit_Baru,substation,GI_Kota_Baru,109.2055,0.0592,22011, "
" ,GI_Parit_Baru,substation,GI_Siantan,109.2055,0.0592,16708, "
" ,GI_Siantan,substation,GI_Sei_Raya,109.328,-0.0002,18140, "
" ,GI_Siantan,substation,GI_Tayan,109.328,-0.0002,99173, "
" ,GI_Tayan,substation,GI_Ngabang,110.0932,0.0015,47271, "
" ,GI_Ngabang,substation,GI_Bengkayang,110.001,0.3534,95473, "
" ,GI_Bengkayang,substation,GI_Singkawang,109.4967,0.9056,73947, "
" ,GI_Bengkayang,substation,GITET_Bengkayang,109.4967,0.9056,104, "
" ,GI_Pangkalanbun,substation,GI_Sampit,111.7037,-2.6152,162004, "
" ,GI_PLTU_Sampit,substation,GI_Sampit,112.9101,-2.7625,40323, "
" ,GI_Sampit,substation,GI_Kasongan,112.9207,-2.4816,106631, "
" ,GI_Kasongan,substation,GI_Palangkaraya,113.4337,-1.9002,65985, "
" ,GI_Palangkaraya,substation,GI_Sebangau,113.8739,-2.1748,14309, "
" ,GI_Sebangau,substation,GI_Pulau_Pisang,113.9302,-2.2748,71353, "
" ,GI_Pulau_Pisang,substation,GI_S_Mintin,114.2547,-2.7316,13191, "
" ,GI_S_Mintin,substation,GI_Selat,114.2086,-2.8214,28124, "
" ,GI_Selat,substation,GI_Seberang_Barito,114.3736,-3.0121,41211, "
" ,GI_Seberang_Barito,substation,GI_Trisakti,114.5522,-3.2767,5487, "
" ,GI_Trisakti,substation,GI_Mantuil,114.571,-3.3094,15387, "
" ,GI_Mantuil,substation,GI_Asam-asam,114.627,-3.4236,99901, "
" ,GI_Asam-asam,substation,GI_Satui,115.1049,-3.9253,53115, "
" ,GI_Satui,substation,GI_Batulicin,115.519,-3.7127,63741, "
" ,GI_Asam-asam,substation,GI_Pelaihari,115.1049,-3.9253,58919, "
" ,GI_Pelaihari,substation,GI_Cempaka,114.7576,-3.7296,33123, "
" ,GI_Mantuil,substation,GI_Bandara,114.627,-3.4236,16075, "
" ,GI_Bandara,substation,GI_Cempaka,114.7553,-3.4725,10746, "
" ,GI_Cempaka,substation,GI_Rantau,114.8499,-3.4658,60632, "
" ,GI_Rantau,substation,GI_Barikin,115.126,-3.0289,46202, "
" ,GI_Seberang_Barito,substation,GI_Kayutangi,114.5522,-3.2767,18645, "
" ,GI_Kayutangi,substation,GI_Barikin,114.6205,-3.2304,105161, "
" ,GI_Barikin,substation,GI_Amuntai,115.3276,-2.6843,30461, "
" ,GI_Barikin,substation,GI_Tanjung,115.3276,-2.6843,59659, "
" ,GI_Tanjung,substation,GI_Buntok,115.4505,-2.1953,79010, "
" ,GI_Buntok,substation,GI_Muara_Teweh,114.9788,-1.7459,118070, "
" ,GI_Muara_Teweh,substation,GI_Bangkanai,114.8658,-0.8672,43641, "
" ,GI_Tanjung,substation,GI_Muara_Komam,115.4505,-2.1953,94666, "
" ,GI_Muara_Komam,substation,GI_Kuaro,115.8694,-1.828,27589, "
" ,GI_Kuaro,substation,GI_Grogot,116.0945,-1.8032,14658, "
" ,GI_Kuaro,substation,GI_Longikis,116.0945,-1.8032,44832, "
" ,GI_Longikis,substation,GI_Petung,116.3231,-1.5161,44514, "
" ,GI_Petung,substation,GI_Kariangau,116.6719,-1.3408,48163, "
" ,GI_Kariangau,substation,GI_Karangjoang,116.792,-1.1657,11473, "
" ,GI_Karangjoang,substation,GI_Manggar_Sari,116.8777,-1.1488,13749, "
" ,GI_Manggar_Sari,substation,GI_Industri,116.9488,-1.2383,13615, "
" ,GI_Manggar_Sari,substation,GI_Senipah,116.9488,-1.2383,42687, "
" ,GI_Karangjoang,substation,GI_Harapan_Baru,116.8777,-1.1488,75274, "
" ,GI_Harapan_Baru,substation,GI_Tengkawang,117.1063,-0.547,8310, "
" ,GI_Tengkawang,substation,GI_Embalut,117.1136,-0.5024,15935, "
" ,GI_Embalut,substation,GI_Bukit_Biru,117.0518,-0.3816,20491, "
" ,GI_Bukit_Biru,substation,GI_Kotabangun,116.978,-0.456,53727, "
" ,GI_Harapan_Baru,substation,GI_Bukuan,117.1063,-0.547,10867, "
" ,GI_Bukuan,substation,GI_Muara_Jawa,117.193,-0.5832,28882, "
" ,GI_Bukuan,substation,GI_Sambutan,117.193,-0.5832,7177, "
" ,GI_Sambutan,substation,GI_Muara_Badak,117.2139,-0.5242,27134, "
" ,GI_Muara_Badak,substation,GI_Teluk_Pandan,117.2925,-0.316,57500, "
" ,GI_Teluk_Pandan,substation,GI_Sangatta,117.435,0.1614,42347, "
" ,GI_Malinau,substation,GI_Tideng_Pale,116.6286,3.5114,28625, "
" ,PLTD_Trisakti,generator,,114.572,-3.31,, "
" ,PLTD_Kuala_Kapuas,generator,,114.374,-3.012,, "
" ,PLTD_Barabai,generator,,115.376,-2.593,, "
" ,PLTD_Panangkalaan,generator,,115.262,-2.404,, "
" ,PLTD_Maburai,generator,,115.45,-2.195,, "
" ,PLTA_IR._PM_Noor,generator,,115.008,-3.516,, "
" ,PLTD_Asam_Asam,generator,,115.105,-3.925,, "
" ,PLTD_Karang_Asam,generator,,117.114,-0.502,, "
" ,PLTD_Bontang,generator,,117.459,0.145,, "
" ,PLTD_Kledang,generator,,117.122,-0.523,, "
" ,PLTU_Mangkujenang,generator,,117.156,-0.539,, "
" ,PLTD_Tanah_Grogot,generator,,116.18,-1.888,, "
" ,PLTD_Petung,generator,,116.67,-1.342,, "
" ,PLTD_Batu_Sopang,generator,,115.912,-1.82,, "
" ,PLTD_Long_Ikis,generator,,116.187,-1.6,, "
" ,PLTD_Gunung_Malang,generator,,116.841,-1.263,, "
" ,PLTD_Batakan_Unit,generator,,116.951,-1.238,, "
" ,PLTD_Cogindo_(MFO),generator,,116.951,-1.238,, "
" ,PLTD_CDE_Karang_Joang_(MFO),generator,,116.878,-1.149,, "
" ,PLTD_Muara_Komam,generator,,115.812,-1.675,, "
" ,PLTD_Kerang,generator,,116.082,-2.239,, "
" ,PLTD_Tanjung_Aru,generator,,116.584,-2.175,, "
" ,PLTD_Jenebora/Gresik,generator,,116.735,-1.186,, "
" ,PLTD_Siantan,generator,,109.327,-0.002,, "
" ,PLTD_Sei_Raya,generator,,109.38,-0.072,, "
" ,PLTD_Sudirman,generator,,108.998,0.911,, "
" ,PLTD_Sei_Wie,generator,,108.987,0.926,, "
" ,PLTBm_PT._Rezeki,generator,,109.286,0.011,, "
" ,PLTD_Sewa_Ake,generator,,109.328,-0.001,, "
" ,PLTD_Artiduta,generator,,109.38,-0.074,, "
" ,PLTD_Bugak_Berawang,generator,,109.203,0.061,, "
" ,PLTA_SESCO_275,generator,,110.35,1.354,, "
" ,PLTD_Muara_Bengkal,generator,,116.674,0.437,, "
" ,PLTD_Muara_Wahau,generator,,116.843,1.045,, "
" ,PLTD_Sepaso,generator,,117.561,0.756,, "
" ,PLTD_Sepaso_Pemkab,generator,,117.561,0.756,, "
" ,PLTD_Sepaso_KPC,generator,,117.561,0.756,, "
" ,PLTD_Sepaso_Altrak,generator,,117.561,0.756,, "
