bus,name,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime
0,PLTD_Sambas,4.095,Oil,0.25,1.2,3,1977,25
1,PLTD_Area_Singkawang,0.16,Oil,0.25,1.2,3,2010,25
1,PLTD_Sei_Wie,18.4,Oil,0.25,1.2,3,1986,25
1,PLTD_Sudirman,5.585,Oil,0.25,1.2,3,1982,25
2,PLTU_Kalbar_1_Unit_2,125,Coal,0.34,1.65,0.13,2021,40
3,PLTU_Kalbar_1_Unit_1,125,Coal,0.34,1.65,0.13,2020,40
4,PLTD_Lemukutan,0.412,Oil,0.25,1.2,3,2001,25
5,PLTBm_PT._Rezeki,10,Biomass,0.29,2.5,3,2018,30
5,PLTD_Padang_Tikar,3.375,Oil,0.25,1.2,3,2010,25
5,PLTD_Sepuk_Laut,0.5,Oil,0.25,1.2,3,2014,25
5,PLTD_Tanjung_Saleh,0.77,Oil,0.25,1.2,3,1999,25
5,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),100,Oil,0.25,1.2,3,2017,25
6,PLTD_Sei_Raya,50.4,Oil,0.25,1.2,3,1987,25
7,PLTD_Siantan,49.9,Oil,0.25,1.2,3,1977,25
7,PLTG_Siantan,34,Oil,0.25,1.2,3,1997,25
8,PLTBm_PT_Harjohn_Timber,5,Biomass,0.29,2.5,3,2010,30
8,PLTD_Dusun_Besar,1.196,Oil,0.25,1.2,3,1982,25
9,PLTBm_PT_Alas_Kusuma,3.5,Biomass,0.29,2.5,3,2010,30
9,PLTU_Ketapang_#01,10,Coal,0.34,1.65,0.13,2016,40
9,PLTU_Ketapang_#02,10,Coal,0.34,1.65,0.13,2016,40
9,PLTU_Sanggau_#01,7,Coal,0.34,1.65,0.13,2014,40
9,PLTU_Sanggau_#02,7,Coal,0.34,1.65,0.13,2014,40
9,PLTU_Tembilok_(IPP_Ketapang)_#01,7.5,Coal,0.34,1.65,0.13,2019,40
9,PLTU_Tembilok_(IPP_Ketapang)_#02,7.5,Coal,0.34,1.65,0.13,2019,40
9,PLTD_Air_Hitam,1.05,Oil,0.25,1.2,3,2001,25
9,PLTD_Air_Upas,0.695,Oil,0.25,1.2,3,2010,25
9,PLTD_Aur_Kuning,2.755,Oil,0.25,1.2,3,1995,25
9,PLTD_Badau,2.085,Oil,0.25,1.2,3,2015,25
9,PLTD_Balai_Bekuak,3.009,Oil,0.25,1.2,3,1999,25
9,PLTD_Bora,1.078,Oil,0.25,1.2,3,1997,25
9,PLTD_Kalan,0.17,Oil,0.25,1.2,3,1998,25
9,PLTD_Kayan,0.337,Oil,0.25,1.2,3,1993,25
9,PLTD_Kendawangan_Kanan,0.823,Oil,0.25,1.2,3,1996,25
9,PLTD_Kota_Baru,0.331,Oil,0.25,1.2,3,1997,25
