bus,p_set
0,178.290775
0,172.2071
0,166.5662917
0,161.32935
0,156.6524917
0,153.8256417
0,153.5911
0,150.3473833
0,144.8367917
0,149.6047583
0,155.9620833
0,159.4273417
0,159.7138833
0,158.3330667
0,160.2089667
0,161.0297
0,163.074925
0,163.6221167
0,162.5668417
0,170.7740667
0,182.628875
0,180.64865
0,175.6853583
0,171.5165833
0,166.5531833
0,161.3032417
0,155.0762417
0,150.607925
0,147.1296667
0,146.2437167
0,146.7126917
0,148.0806167
0,148.6929167
0,160.7691583
0,169.888225
0,176.1803333
0,173.939675
0,169.2498167
0,172.0506667
0,172.1158833
0,172.3113167
0,170.5916333
0,171.29515
0,178.5643167
0,186.7584333
0,183.0457417
0,176.7666333
0,170.4353083
0,165.224475
0,158.385175
0,152.7052583
0,150.15195
0,147.4423167
0,145.2927667
0,145.0713333
0,145.0973333
0,142.8045667
0,148.432375
0,156.0011917
0,160.0265333
0,159.47945
0,156.860925
0,157.5774417
0,157.7467667
0,157.6686583
0,155.6754333
0,156.99125
0,165.9931
0,175.5941417
0,172.8062917
0,167.0352667
0,161.199025
0,155.1022417
0,149.0185667
0,143.8728417
0,140.6420167
0,137.6718417
0,137.72395
0,142.231375
0,149.24
0,159.4403417
0,180.5444333
0,190.4712333
0,195.4867417
0,194.0928167
0,191.5004
0,196.4246917
0,199.6815167
0,200.4370333
0,196.8285583
0,188.07425
0,190.1845833
0,197.9879417
0,193.9234917
0,184.9346417
0,179.528375
0,171.125825
0,164.1432
0,158.6717167
0,155.0892417
0,152.9006917
0,151.2853333
0,153.6432083
0,157.9292
0,164.7685
0,186.9147583
0,197.1542083
0,204.6449167
0,203.772075
0,200.52825
0,207.2894417
0,211.8228667
0,212.4221667
0,208.3706083
0,197.258425
0,196.81545
0,205.9085167
0,201.0884417
0,192.907325
0,187.47495
0,176.8187417
0,170.539525
0,165.4589083
0,160.5216167
0,157.9422
0,156.0271917
0,158.0464167
0,161.9415417
0,170.513525
0,191.0965333
0,199.1734333
0,204.9184583
0,201.609525
0,196.9848833
0,200.997225
0,203.2899917
0,203.62875
0,199.5120833
0,189.793825
0,191.7218333
0,202.2999333
0,198.0791583
0,189.5592833
0,182.47255
0,173.15805
0,166.0321
0,161.3162417
0,156.97825
0,153.90375
0,152.822475
0,155.441
0,159.935425
0,167.5172417
0,187.0971917
0,197.2193167
0,202.547475
0,201.79185
0,197.5971833
0,202.3390417
0,206.5338167
0,205.8173
0,203.9544
0,194.91355
0,194.170925
0,205.647975
0,200.2807083
0,192.1648083
0,186.4588917
0,176.89685
0,170.7349583
0,164.4297417
0,160.3652917
0,158.3460667
0,155.8187583
0,156.7567083
0,160.5346167
0,166.7486167
0,186.4327833
0,195.9036083
0,201.4923083
